VIN,Country,City,Postal Code,Model Year,Make,Model,Electric Vehicle Type,CAFV Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,2020 Census Tract
VIN00000203,Australia,London,70070,2000,TESLA,Mustang,PHEV,Not Eligible,377,147343,23,501247,PORT OF SEATTLE,641480
VIN00000204,UK,Paris,11841,2018,BMW,Camry,BEV,Eligible,388,99514,12,687931,PORT OF SEATTLE,277529
VIN00000205,Brazil,Paris,35622,2023,NISSAN,Mustang,BEV,Not Eligible,231,43169,43,603643,PORT OF TACOMA,458855
VIN00000206,Canada,Moscow,92530,2020,BMW,Mustang,PHEV,Eligible,315,122130,16,579649,CUSTOMS WAREHOUSE,518326
VIN00000207,Brazil,São Paulo,86477,2010,TOYOTA,Bolt,PHEV,Eligible,92,115090,36,293699,CUSTOMS WAREHOUSE,440774
VIN00000208,Australia,Paris,59761,2012,CHEVROLET,Model S,PHEV,Not Eligible,119,93428,42,965763,CUSTOMS WAREHOUSE,780425
VIN00000209,Russia,Toronto,60412,2009,FORD,Model X,BEV,Not Eligible,299,100331,44,124596,PORT OF TACOMA,588014
VIN00000210,Germany,Berlin,74566,2009,TOYOTA,Model X,BEV,Not Eligible,272,141456,32,894680,CUSTOMS WAREHOUSE,696933
VIN00000211,USA,Tokyo,53848,2005,TESLA,Leaf,BEV,Eligible,246,131728,23,776379,PORT OF TACOMA,895830
VIN00000212,UK,Moscow,20196,2022,NISSAN,Leaf,BEV,Not Eligible,109,96548,25,110509,PORT OF SEATTLE,428443
VIN00000213,China,London,61386,2004,TOYOTA,Leaf,BEV,Not Eligible,112,147021,50,900992,PORT OF TACOMA,802874
VIN00000214,Russia,Mumbai,99605,2022,NISSAN,Model X,BEV,Not Eligible,288,36628,18,128335,CUSTOMS WAREHOUSE,346134
VIN00000215,China,Moscow,46188,2024,NISSAN,Model S,BEV,Eligible,368,82260,13,274553,PORT OF SEATTLE,893121
VIN00000216,Germany,Toronto,88288,2018,CHEVROLET,Leaf,PHEV,Eligible,341,55460,11,275959,CUSTOMS WAREHOUSE,805881
VIN00000217,UK,Paris,57889,2000,NISSAN,Leaf,PHEV,Not Eligible,100,105027,31,215783,PORT OF TACOMA,125166
VIN00000218,Australia,London,88687,2004,TOYOTA,Model S,PHEV,Not Eligible,309,32023,14,603377,CUSTOMS WAREHOUSE,608103
VIN00000219,France,Mumbai,37195,2000,TESLA,Mustang,BEV,Not Eligible,80,91446,32,775567,PORT OF TACOMA,464676
VIN00000220,Brazil,Berlin,46376,2004,FORD,Model X,PHEV,Not Eligible,110,125652,5,894845,PORT OF SEATTLE,400163
VIN00000221,Australia,Moscow,96058,2001,TOYOTA,Mustang,BEV,Not Eligible,287,35404,38,778381,PORT OF TACOMA,632959
VIN00000222,Russia,Berlin,35110,2023,BMW,Leaf,PHEV,Not Eligible,300,124084,19,854194,CUSTOMS WAREHOUSE,447280
VIN00000223,Brazil,Mumbai,90971,2019,BMW,Leaf,BEV,Not Eligible,181,35153,23,750708,PORT OF SEATTLE,430827
VIN00000224,Russia,Mumbai,60244,2014,NISSAN,Bolt,BEV,Eligible,207,75095,33,781209,PORT OF TACOMA,104805
VIN00000225,USA,London,98770,2015,TESLA,Model X,BEV,Eligible,235,75567,26,426160,CUSTOMS WAREHOUSE,524137
VIN00000226,Canada,Paris,41479,2016,FORD,Mustang,BEV,Not Eligible,364,144472,18,865145,CUSTOMS WAREHOUSE,916245
VIN00000227,Mexico,Berlin,67484,2011,BMW,Camry,PHEV,Not Eligible,164,74618,45,341205,CUSTOMS WAREHOUSE,464192
VIN00000228,Australia,New York,80742,2004,NISSAN,Model S,BEV,Eligible,166,114118,50,188177,PORT OF SEATTLE,537987
VIN00000229,Australia,Paris,32763,2009,NISSAN,Camry,BEV,Not Eligible,362,103342,7,874229,PORT OF TACOMA,710000
VIN00000230,Germany,Tokyo,41965,2021,FORD,Leaf,BEV,Eligible,233,41724,44,955119,PORT OF TACOMA,651218
VIN00000231,Russia,Sydney,94831,2005,TESLA,Bolt,PHEV,Not Eligible,383,133293,8,849466,CUSTOMS WAREHOUSE,397989
VIN00000232,Australia,Sydney,36935,2024,NISSAN,Model S,BEV,Eligible,277,111870,8,350667,PORT OF TACOMA,961368
VIN00000233,Mexico,Moscow,29378,2001,NISSAN,Camry,BEV,Not Eligible,238,77744,38,851467,CUSTOMS WAREHOUSE,945900
VIN00000234,France,Tokyo,39442,2012,NISSAN,Camry,BEV,Not Eligible,324,92963,15,441378,CUSTOMS WAREHOUSE,875318
VIN00000235,Germany,Moscow,10740,2013,CHEVROLET,Model S,BEV,Eligible,249,43336,17,675159,PORT OF TACOMA,769524
VIN00000236,Russia,Sydney,74941,2008,BMW,Leaf,BEV,Not Eligible,222,71882,44,813320,PORT OF TACOMA,265682
VIN00000237,Mexico,New York,66038,2001,CHEVROLET,Bolt,BEV,Not Eligible,173,149732,9,906318,PORT OF TACOMA,167605
VIN00000238,Mexico,Moscow,24725,2023,TESLA,Leaf,BEV,Eligible,262,90670,37,615986,PORT OF SEATTLE,329531
VIN00000239,Canada,Tokyo,53490,2006,NISSAN,Model S,BEV,Not Eligible,281,116378,40,529204,CUSTOMS WAREHOUSE,522116
VIN00000240,Russia,Moscow,27645,2010,CHEVROLET,Model S,BEV,Not Eligible,396,105244,20,582402,PORT OF TACOMA,517175
VIN00000241,Mexico,London,75392,2001,NISSAN,Model S,BEV,Not Eligible,365,62167,23,164443,PORT OF TACOMA,860066
VIN00000242,France,Berlin,86745,2005,CHEVROLET,Model X,BEV,Not Eligible,281,139281,50,791531,PORT OF SEATTLE,832382
VIN00000243,Brazil,Tokyo,65981,2015,TOYOTA,Camry,PHEV,Eligible,379,31553,15,161483,PORT OF SEATTLE,650894
VIN00000244,UK,Berlin,76678,2011,TOYOTA,Mustang,PHEV,Not Eligible,263,127615,18,262427,PORT OF TACOMA,150331
VIN00000245,Australia,Mumbai,35555,2018,TOYOTA,Camry,PHEV,Eligible,340,80430,24,731109,CUSTOMS WAREHOUSE,239360
VIN00000246,Russia,London,22136,2005,CHEVROLET,Camry,BEV,Eligible,102,140673,40,326704,PORT OF TACOMA,675458
VIN00000247,China,Paris,14001,2000,CHEVROLET,Model S,PHEV,Eligible,306,56185,43,529288,PORT OF TACOMA,627752
VIN00000248,Germany,Berlin,47016,2016,CHEVROLET,Bolt,PHEV,Not Eligible,193,145399,49,716945,CUSTOMS WAREHOUSE,843475
VIN00000249,India,Tokyo,73465,2020,FORD,Bolt,PHEV,Eligible,327,56487,13,522530,PORT OF TACOMA,678390
VIN00000250,UK,New York,53468,2018,TESLA,Camry,BEV,Not Eligible,388,88828,25,447394,PORT OF TACOMA,787098
VIN00000251,Brazil,Paris,47003,2006,TOYOTA,Camry,PHEV,Eligible,283,35153,18,163015,PORT OF TACOMA,618544
VIN00000252,UK,São Paulo,71910,2018,FORD,Camry,BEV,Eligible,334,77257,22,959059,CUSTOMS WAREHOUSE,786899
VIN00000253,India,Berlin,15370,2009,NISSAN,Camry,BEV,Not Eligible,54,39934,45,713173,PORT OF TACOMA,569470
VIN00000254,India,London,62958,2007,BMW,Mustang,PHEV,Eligible,224,145816,40,244900,PORT OF SEATTLE,124084
VIN00000255,Mexico,Tokyo,46879,2004,BMW,Leaf,BEV,Eligible,371,96310,33,678181,PORT OF TACOMA,318326
VIN00000256,India,Tokyo,63905,2017,FORD,Camry,PHEV,Not Eligible,308,39662,42,333935,CUSTOMS WAREHOUSE,720344
VIN00000257,Mexico,Toronto,59475,2019,TOYOTA,Model X,BEV,Eligible,232,87255,18,609740,PORT OF SEATTLE,598386
VIN00000258,China,Mumbai,46983,2020,TOYOTA,Bolt,BEV,Eligible,321,149512,14,413386,CUSTOMS WAREHOUSE,843352
VIN00000259,USA,Toronto,58768,2008,FORD,Camry,PHEV,Not Eligible,158,58128,13,233396,PORT OF SEATTLE,821994
VIN00000260,Japan,Tokyo,24393,2003,FORD,Leaf,BEV,Eligible,205,83260,45,195206,CUSTOMS WAREHOUSE,762790
VIN00000261,Mexico,Mumbai,89330,2004,BMW,Camry,BEV,Not Eligible,393,120985,18,952253,PORT OF SEATTLE,101655
VIN00000262,USA,Mumbai,10087,2016,TOYOTA,Leaf,PHEV,Eligible,169,102802,42,555899,CUSTOMS WAREHOUSE,452320
VIN00000263,Australia,London,27367,2005,TESLA,Camry,BEV,Eligible,89,85589,31,518827,CUSTOMS WAREHOUSE,263550
VIN00000264,China,Toronto,89538,2006,FORD,Model X,BEV,Eligible,225,95273,24,782590,CUSTOMS WAREHOUSE,264514
VIN00000265,USA,Moscow,98262,2024,TOYOTA,Leaf,PHEV,Eligible,225,91866,33,817078,CUSTOMS WAREHOUSE,783186
VIN00000266,Brazil,New York,41279,2011,TOYOTA,Camry,BEV,Not Eligible,375,86067,11,226624,PORT OF SEATTLE,773968
VIN00000267,UK,New York,56317,2010,BMW,Leaf,PHEV,Not Eligible,354,130125,30,252203,PORT OF SEATTLE,982696
VIN00000268,Russia,Tokyo,55679,2013,FORD,Model S,PHEV,Eligible,52,111136,16,495091,PORT OF SEATTLE,193534
VIN00000269,China,Toronto,74598,2022,TESLA,Leaf,PHEV,Eligible,89,53027,31,863555,CUSTOMS WAREHOUSE,702755
VIN00000270,France,London,71789,2016,TESLA,Camry,PHEV,Not Eligible,202,135430,24,142792,PORT OF TACOMA,577119
VIN00000271,USA,Paris,80971,2000,FORD,Camry,BEV,Eligible,274,77801,40,270389,CUSTOMS WAREHOUSE,224127
VIN00000272,Mexico,Sydney,49410,2021,TESLA,Camry,PHEV,Not Eligible,387,70825,42,850097,CUSTOMS WAREHOUSE,631289
VIN00000273,Australia,São Paulo,86801,2018,CHEVROLET,Model X,BEV,Not Eligible,168,111363,39,876414,PORT OF TACOMA,300757
VIN00000274,India,Berlin,75445,2023,NISSAN,Mustang,PHEV,Eligible,306,84723,12,619629,PORT OF TACOMA,580070
VIN00000275,Mexico,Toronto,33280,2007,TESLA,Model S,BEV,Eligible,152,73527,7,890875,PORT OF SEATTLE,727355
VIN00000276,UK,Paris,86200,2000,TOYOTA,Model S,PHEV,Not Eligible,398,128937,32,704952,PORT OF TACOMA,151342
VIN00000277,France,London,42776,2004,CHEVROLET,Leaf,BEV,Not Eligible,147,42527,32,479802,PORT OF SEATTLE,638554
VIN00000278,Brazil,São Paulo,51171,2013,TESLA,Bolt,BEV,Not Eligible,144,53451,25,460152,PORT OF SEATTLE,283062
VIN00000279,France,Berlin,24572,2017,TOYOTA,Camry,PHEV,Eligible,229,42990,23,817486,PORT OF SEATTLE,704060
VIN00000280,Germany,London,10763,2021,CHEVROLET,Leaf,PHEV,Not Eligible,112,148800,48,318203,PORT OF SEATTLE,286100
VIN00000281,USA,Moscow,57558,2001,FORD,Bolt,PHEV,Eligible,263,129887,11,482384,CUSTOMS WAREHOUSE,825914
VIN00000282,Canada,Berlin,66442,2016,TOYOTA,Model S,PHEV,Eligible,312,113786,21,951040,PORT OF TACOMA,689677
VIN00000283,France,Tokyo,48602,2000,TESLA,Leaf,BEV,Eligible,322,110742,27,454194,PORT OF SEATTLE,196449
VIN00000284,Japan,Moscow,61391,2024,NISSAN,Leaf,BEV,Not Eligible,304,50640,12,814471,PORT OF SEATTLE,742194
VIN00000285,Russia,Sydney,92104,2013,FORD,Mustang,BEV,Not Eligible,363,94899,39,907949,CUSTOMS WAREHOUSE,893658
VIN00000286,India,São Paulo,31965,2006,TESLA,Model S,PHEV,Not Eligible,162,145946,15,500782,PORT OF SEATTLE,247286
VIN00000287,China,London,84928,2002,CHEVROLET,Model S,PHEV,Eligible,279,102747,7,277914,PORT OF SEATTLE,184267
VIN00000288,Brazil,London,49385,2002,TESLA,Model S,PHEV,Not Eligible,289,89218,16,377264,PORT OF TACOMA,431591
VIN00000289,France,São Paulo,40755,2024,TOYOTA,Model X,BEV,Eligible,365,81761,23,838602,CUSTOMS WAREHOUSE,453387
VIN00000290,China,Paris,95700,2018,TOYOTA,Bolt,PHEV,Eligible,171,61690,41,985174,PORT OF SEATTLE,563117
VIN00000291,Japan,Moscow,85695,2015,FORD,Camry,BEV,Not Eligible,87,53784,19,105083,CUSTOMS WAREHOUSE,734513
VIN00000292,Japan,São Paulo,81050,2006,TESLA,Model X,PHEV,Eligible,215,128141,38,216538,PORT OF TACOMA,512071
VIN00000293,Japan,London,42236,2019,TESLA,Model S,PHEV,Eligible,383,41837,33,577760,PORT OF TACOMA,222754
VIN00000294,Australia,London,94293,2012,NISSAN,Model X,BEV,Not Eligible,165,140905,38,134802,PORT OF TACOMA,573480
VIN00000295,India,Tokyo,51595,2014,NISSAN,Camry,BEV,Not Eligible,335,41277,49,643127,PORT OF TACOMA,855148
VIN00000296,UK,Tokyo,87244,2015,TOYOTA,Model X,BEV,Not Eligible,246,41105,30,332585,PORT OF TACOMA,383049
VIN00000297,Mexico,Tokyo,72978,2004,TESLA,Model X,PHEV,Eligible,169,119938,8,364708,PORT OF SEATTLE,816656
VIN00000298,Brazil,New York,28461,2020,CHEVROLET,Leaf,PHEV,Not Eligible,175,65237,4,201693,PORT OF SEATTLE,294953
VIN00000299,Germany,Moscow,54799,2016,CHEVROLET,Leaf,PHEV,Not Eligible,101,38893,37,657500,CUSTOMS WAREHOUSE,651069
VIN00000300,Germany,Mumbai,80697,2018,BMW,Model X,BEV,Eligible,373,45355,14,942166,PORT OF TACOMA,238359
VIN00000301,UK,Tokyo,87589,2010,BMW,Mustang,PHEV,Eligible,182,142363,41,459914,PORT OF SEATTLE,159849
VIN00000302,UK,London,94687,2008,NISSAN,Camry,PHEV,Not Eligible,153,53563,27,520691,PORT OF SEATTLE,836550
VIN00000303,Germany,Toronto,29294,2001,BMW,Mustang,PHEV,Not Eligible,114,70211,16,542424,CUSTOMS WAREHOUSE,537654
VIN00000304,Canada,London,49837,2023,BMW,Mustang,PHEV,Not Eligible,384,121644,11,109619,PORT OF TACOMA,461648
VIN00000305,Russia,Sydney,84367,2019,TOYOTA,Bolt,BEV,Eligible,302,131399,1,407657,PORT OF TACOMA,738225
VIN00000306,Canada,Sydney,15791,2003,FORD,Model S,PHEV,Not Eligible,331,32011,10,800584,PORT OF SEATTLE,141403
VIN00000307,India,Berlin,73037,2020,NISSAN,Mustang,PHEV,Eligible,145,71421,21,156624,CUSTOMS WAREHOUSE,788330
VIN00000308,Brazil,Berlin,52399,2007,TESLA,Camry,BEV,Not Eligible,183,49895,7,230372,PORT OF SEATTLE,732942
VIN00000309,USA,Sydney,82096,2000,NISSAN,Mustang,PHEV,Not Eligible,268,147341,18,179733,CUSTOMS WAREHOUSE,978552
VIN00000310,Mexico,New York,91247,2007,BMW,Model S,PHEV,Not Eligible,298,120077,45,882016,CUSTOMS WAREHOUSE,355697
VIN00000311,Russia,Toronto,67649,2012,BMW,Leaf,BEV,Not Eligible,371,55129,17,752789,PORT OF TACOMA,219671
VIN00000312,Japan,São Paulo,93889,2016,BMW,Camry,PHEV,Not Eligible,64,33193,30,771616,PORT OF TACOMA,520878
VIN00000313,Germany,Berlin,68172,2020,FORD,Model X,BEV,Not Eligible,357,97761,5,964331,CUSTOMS WAREHOUSE,464802
VIN00000314,Australia,Sydney,46063,2016,CHEVROLET,Leaf,PHEV,Eligible,315,117800,24,753541,PORT OF TACOMA,774867
VIN00000315,France,Sydney,35033,2011,FORD,Model S,PHEV,Eligible,277,108865,29,961945,PORT OF TACOMA,613213
VIN00000316,UK,Moscow,75239,2022,TOYOTA,Bolt,BEV,Not Eligible,345,75016,32,828653,PORT OF SEATTLE,908901
VIN00000317,Japan,Paris,23990,2006,NISSAN,Camry,BEV,Not Eligible,165,87790,32,905875,PORT OF TACOMA,851726
VIN00000318,India,New York,86508,2002,TESLA,Model S,PHEV,Not Eligible,62,96971,21,612703,PORT OF TACOMA,396368
VIN00000319,France,Sydney,87643,2018,BMW,Leaf,BEV,Eligible,103,116509,34,212382,PORT OF SEATTLE,304754
VIN00000320,India,Sydney,21426,2024,CHEVROLET,Leaf,PHEV,Not Eligible,65,54328,18,653619,PORT OF SEATTLE,858792
VIN00000321,China,Moscow,53498,2012,NISSAN,Model S,BEV,Eligible,252,147086,46,218181,PORT OF SEATTLE,863450
VIN00000322,Mexico,São Paulo,10910,2023,NISSAN,Model X,BEV,Not Eligible,200,41169,44,399661,PORT OF SEATTLE,866688
VIN00000323,India,Berlin,30529,2009,FORD,Model X,BEV,Eligible,185,69025,23,233616,PORT OF TACOMA,449650
VIN00000324,Russia,Moscow,33922,2023,TOYOTA,Camry,BEV,Not Eligible,252,34287,24,157814,CUSTOMS WAREHOUSE,667946
VIN00000325,China,Paris,30070,2018,TESLA,Model S,BEV,Not Eligible,392,58325,31,344417,CUSTOMS WAREHOUSE,987545
VIN00000326,USA,Mumbai,67856,2021,FORD,Camry,BEV,Not Eligible,341,54206,50,511970,CUSTOMS WAREHOUSE,706691
VIN00000327,Mexico,Paris,38805,2002,TOYOTA,Bolt,BEV,Eligible,364,64828,10,441907,CUSTOMS WAREHOUSE,351673
VIN00000328,India,São Paulo,55115,2003,BMW,Bolt,PHEV,Eligible,382,60696,42,552435,CUSTOMS WAREHOUSE,783307
VIN00000329,Canada,Paris,98380,2016,TESLA,Camry,PHEV,Not Eligible,153,105615,7,244514,PORT OF TACOMA,593837
VIN00000330,France,Moscow,64471,2003,TESLA,Leaf,BEV,Eligible,188,38182,36,282092,CUSTOMS WAREHOUSE,985891
VIN00000331,Australia,São Paulo,23033,2022,CHEVROLET,Model S,PHEV,Eligible,161,78840,12,721938,PORT OF TACOMA,770181
VIN00000332,Canada,Mumbai,49597,2011,FORD,Bolt,PHEV,Not Eligible,231,139889,2,786658,CUSTOMS WAREHOUSE,661138
VIN00000333,Brazil,Berlin,96037,2015,FORD,Model X,PHEV,Not Eligible,141,147011,35,134027,PORT OF TACOMA,911270
VIN00000334,Mexico,Paris,61217,2006,BMW,Model X,PHEV,Not Eligible,351,58872,18,287471,PORT OF TACOMA,618128
VIN00000335,Australia,São Paulo,28787,2024,TOYOTA,Model S,BEV,Not Eligible,73,110162,20,350431,PORT OF SEATTLE,726392
VIN00000336,France,Mumbai,50633,2005,TESLA,Camry,PHEV,Eligible,214,80328,19,246277,CUSTOMS WAREHOUSE,907731
VIN00000337,UK,Mumbai,82396,2007,TESLA,Bolt,PHEV,Eligible,180,145891,15,562034,PORT OF TACOMA,143183
VIN00000338,Australia,London,46500,2017,TOYOTA,Model X,PHEV,Eligible,212,45739,24,640901,PORT OF SEATTLE,621903
VIN00000339,India,São Paulo,86276,2007,FORD,Bolt,PHEV,Not Eligible,384,81914,14,137391,PORT OF SEATTLE,531258
VIN00000340,India,London,33794,2012,TOYOTA,Leaf,PHEV,Eligible,270,76986,6,339538,PORT OF TACOMA,455671
VIN00000341,Japan,Mumbai,97527,2004,FORD,Bolt,PHEV,Eligible,353,30030,33,428829,PORT OF TACOMA,326339
VIN00000342,Japan,New York,87970,2011,BMW,Leaf,PHEV,Eligible,273,134008,29,274885,PORT OF TACOMA,444922
VIN00000343,Russia,Paris,10395,2016,TESLA,Model S,PHEV,Eligible,91,94558,46,540616,PORT OF SEATTLE,381578
VIN00000344,Brazil,Sydney,76196,2024,TOYOTA,Camry,PHEV,Not Eligible,193,31232,2,234192,PORT OF SEATTLE,116371
VIN00000345,Brazil,Paris,84060,2024,BMW,Mustang,PHEV,Eligible,394,126881,25,479720,PORT OF SEATTLE,494177
VIN00000346,UK,Sydney,83688,2010,CHEVROLET,Camry,BEV,Eligible,256,63394,38,256126,PORT OF TACOMA,888123
VIN00000347,Russia,São Paulo,37937,2006,TOYOTA,Model X,BEV,Eligible,399,118984,6,630102,CUSTOMS WAREHOUSE,749820
VIN00000348,Russia,Moscow,67729,2004,FORD,Leaf,PHEV,Eligible,102,90706,23,899800,CUSTOMS WAREHOUSE,277285
VIN00000349,Japan,New York,12890,2015,CHEVROLET,Model X,PHEV,Not Eligible,308,131469,50,870780,PORT OF TACOMA,871640
VIN00000350,Russia,London,81683,2002,NISSAN,Bolt,BEV,Not Eligible,370,52220,34,874240,PORT OF SEATTLE,672508
VIN00000351,USA,Toronto,37283,2012,CHEVROLET,Model X,PHEV,Not Eligible,136,137007,35,892291,PORT OF TACOMA,755185
VIN00000352,Mexico,London,10627,2008,FORD,Model S,PHEV,Not Eligible,272,121395,44,563531,PORT OF SEATTLE,695347
VIN00000353,Japan,Moscow,81132,2019,CHEVROLET,Mustang,BEV,Eligible,222,66476,35,944046,PORT OF SEATTLE,305276
VIN00000354,Russia,Toronto,89146,2009,CHEVROLET,Model X,PHEV,Not Eligible,97,92337,14,793938,CUSTOMS WAREHOUSE,218234
VIN00000355,USA,Paris,93402,2005,FORD,Leaf,BEV,Eligible,216,109623,14,478815,CUSTOMS WAREHOUSE,527707
VIN00000356,USA,Toronto,53530,2020,TESLA,Leaf,PHEV,Not Eligible,229,97839,12,310810,PORT OF TACOMA,914316
VIN00000357,India,London,47959,2002,CHEVROLET,Leaf,BEV,Eligible,212,123997,41,251046,PORT OF TACOMA,412981
VIN00000358,Russia,Tokyo,98069,2000,NISSAN,Bolt,PHEV,Not Eligible,313,111993,16,230335,PORT OF SEATTLE,135739
VIN00000359,Germany,Toronto,14898,2014,FORD,Camry,BEV,Not Eligible,167,47387,3,640725,CUSTOMS WAREHOUSE,202623
VIN00000360,Mexico,Paris,25702,2005,CHEVROLET,Model S,BEV,Eligible,91,35736,31,295240,CUSTOMS WAREHOUSE,935358
VIN00000361,China,Moscow,50503,2004,TOYOTA,Model X,PHEV,Not Eligible,183,53914,27,188645,PORT OF SEATTLE,842030
VIN00000362,Australia,Mumbai,38529,2019,NISSAN,Model S,PHEV,Eligible,149,98339,36,584837,PORT OF SEATTLE,697492
VIN00000363,France,Berlin,66365,2008,CHEVROLET,Mustang,PHEV,Eligible,209,69811,48,380822,PORT OF SEATTLE,316715
VIN00000364,Russia,Mumbai,23220,2016,TESLA,Mustang,PHEV,Eligible,226,53702,42,882407,PORT OF TACOMA,979526
VIN00000365,Australia,Sydney,37807,2019,TESLA,Camry,PHEV,Eligible,97,84390,11,203716,PORT OF SEATTLE,329204
VIN00000366,Brazil,Paris,94903,2006,FORD,Camry,BEV,Eligible,72,91663,8,642443,PORT OF SEATTLE,660125
VIN00000367,China,Tokyo,18239,2007,BMW,Camry,PHEV,Eligible,53,45468,8,385882,PORT OF TACOMA,740366
VIN00000368,India,London,48141,2023,NISSAN,Mustang,PHEV,Eligible,144,43106,4,151416,PORT OF TACOMA,168560
VIN00000369,China,New York,91915,2008,BMW,Model X,PHEV,Not Eligible,54,144217,49,877248,CUSTOMS WAREHOUSE,379004
VIN00000370,USA,Paris,96583,2007,TESLA,Bolt,PHEV,Eligible,337,141950,6,345916,PORT OF TACOMA,780121
VIN00000371,France,Sydney,91510,2017,BMW,Bolt,BEV,Not Eligible,243,130680,41,165091,PORT OF SEATTLE,576121
VIN00000372,Australia,New York,45122,2005,NISSAN,Model X,BEV,Not Eligible,123,44243,26,233751,PORT OF TACOMA,123683
VIN00000373,Canada,Toronto,49685,2022,BMW,Model X,PHEV,Eligible,146,106630,39,633357,PORT OF SEATTLE,612723
VIN00000374,Australia,Toronto,72938,2013,NISSAN,Leaf,PHEV,Not Eligible,354,133769,9,989820,PORT OF TACOMA,755918
VIN00000375,Russia,Paris,13771,2000,NISSAN,Mustang,BEV,Eligible,149,121705,44,650361,PORT OF SEATTLE,966661
VIN00000376,Japan,Berlin,53892,2000,BMW,Bolt,PHEV,Eligible,196,42796,17,658979,CUSTOMS WAREHOUSE,382655
VIN00000377,China,Berlin,60003,2001,TOYOTA,Leaf,PHEV,Eligible,171,59895,37,585778,PORT OF TACOMA,693241
VIN00000378,Germany,Toronto,12028,2001,TESLA,Model S,PHEV,Not Eligible,81,34720,1,573112,CUSTOMS WAREHOUSE,858001
VIN00000379,Canada,Mumbai,31583,2000,CHEVROLET,Model X,PHEV,Eligible,389,81469,33,131773,CUSTOMS WAREHOUSE,929491
VIN00000380,UK,Mumbai,90516,2014,CHEVROLET,Camry,PHEV,Not Eligible,122,97595,47,231315,PORT OF SEATTLE,512875
VIN00000381,France,Berlin,70786,2007,TESLA,Leaf,BEV,Eligible,89,86649,23,274511,CUSTOMS WAREHOUSE,673837
VIN00000382,China,London,34516,2010,FORD,Bolt,PHEV,Not Eligible,238,108593,30,197539,CUSTOMS WAREHOUSE,455383
VIN00000383,UK,London,54639,2020,FORD,Mustang,PHEV,Eligible,225,148260,31,615284,CUSTOMS WAREHOUSE,185183
VIN00000384,Russia,New York,54231,2001,TESLA,Mustang,PHEV,Not Eligible,339,141514,28,764274,CUSTOMS WAREHOUSE,151782
VIN00000385,India,Mumbai,54674,2013,CHEVROLET,Leaf,BEV,Not Eligible,143,97002,49,792821,CUSTOMS WAREHOUSE,912970
VIN00000386,Australia,Tokyo,11761,2000,BMW,Bolt,BEV,Eligible,279,83164,6,673161,CUSTOMS WAREHOUSE,162481
VIN00000387,Germany,São Paulo,97043,2006,CHEVROLET,Model X,BEV,Eligible,232,98207,46,728430,PORT OF TACOMA,882101
VIN00000388,Canada,Tokyo,29538,2009,TOYOTA,Leaf,BEV,Not Eligible,170,37697,17,543178,PORT OF SEATTLE,454687
VIN00000389,France,Mumbai,69048,2003,TESLA,Model X,BEV,Eligible,55,53305,44,109571,PORT OF SEATTLE,543423
VIN00000390,UK,Mumbai,89157,2024,CHEVROLET,Camry,BEV,Eligible,178,75887,19,426055,CUSTOMS WAREHOUSE,231671
VIN00000391,USA,Tokyo,87541,2008,FORD,Model S,PHEV,Eligible,263,35973,8,285871,PORT OF SEATTLE,945989
VIN00000392,Canada,Tokyo,98146,2007,NISSAN,Mustang,PHEV,Eligible,292,66971,8,120725,PORT OF SEATTLE,333666
VIN00000393,China,Tokyo,13913,2013,FORD,Bolt,PHEV,Eligible,370,54998,24,141734,PORT OF TACOMA,523267
VIN00000394,France,Paris,13279,2010,CHEVROLET,Camry,PHEV,Eligible,137,35160,31,193394,PORT OF TACOMA,787446
VIN00000395,China,Paris,86616,2010,TESLA,Model S,PHEV,Not Eligible,302,137897,40,386501,PORT OF TACOMA,739835
VIN00000396,China,Toronto,40820,2011,TESLA,Camry,BEV,Eligible,184,107635,33,180741,CUSTOMS WAREHOUSE,582749
VIN00000397,France,Moscow,35387,2009,CHEVROLET,Model X,PHEV,Eligible,60,87960,13,113512,PORT OF SEATTLE,939879
VIN00000398,UK,Toronto,82575,2024,FORD,Bolt,PHEV,Eligible,396,30657,26,193289,PORT OF TACOMA,599761
VIN00000399,Germany,Toronto,30063,2017,CHEVROLET,Camry,BEV,Eligible,294,140228,32,532003,PORT OF SEATTLE,926592
VIN00000400,Australia,Tokyo,47715,2001,FORD,Leaf,PHEV,Not Eligible,162,123149,46,639704,PORT OF SEATTLE,457203
VIN00000401,Canada,Sydney,74507,2004,BMW,Leaf,BEV,Eligible,69,67544,3,746460,PORT OF SEATTLE,421654
VIN00000402,UK,Mumbai,84838,2023,BMW,Leaf,BEV,Eligible,372,122796,9,562241,CUSTOMS WAREHOUSE,502633
VIN00000403,China,Tokyo,20634,2016,FORD,Camry,PHEV,Not Eligible,265,88760,32,703586,CUSTOMS WAREHOUSE,668515
VIN00000404,USA,Moscow,61100,2020,BMW,Mustang,BEV,Eligible,131,118700,3,785325,PORT OF TACOMA,475661
VIN00000405,Russia,New York,91439,2018,CHEVROLET,Camry,PHEV,Eligible,325,91277,33,311247,PORT OF SEATTLE,412689
VIN00000406,France,London,56798,2019,NISSAN,Bolt,PHEV,Not Eligible,98,124610,48,269059,PORT OF SEATTLE,891205
VIN00000407,Canada,New York,80581,2001,TOYOTA,Bolt,PHEV,Eligible,161,51262,6,332753,CUSTOMS WAREHOUSE,557215
